pays,orthographic_normalization_class,note,nbr_occurences_source,nbr_occurences_ortho
Isles Françoises de l'amerique,Îles françaises de l'Amérique,,13,37285
Isles Françoises de l'Amerique,Îles françaises de l'Amérique,,360,37285
Isles françoises de l'amérique,Îles françaises de l'Amérique,,5020,37285
Isles françoises de l'Amérique,Îles françaises de l'Amérique,,6752,37285
Isles Françoises de l'amérique,Îles françaises de l'Amérique,,18,37285
Isles Françoises de l'Amérique,Îles françaises de l'Amérique,,27,37285
Isles francoises de l'amérique et de Terre neuve,Îles françaises de l'Amérique et Terre-Neuve,,30,753
Isles françoises de l'amerique et de terre neuve,Îles françaises de l'Amérique et Terre-Neuve,,44,753
Isles françoises de l'amerique et de Terre neuve,Îles françaises de l'Amérique et Terre-Neuve,,76,753
Isles françoises de l'Amerique et de Terre neuve,Îles françaises de l'Amérique et Terre-Neuve,,33,753
Isles françoises de l'amerique et pour terre neuve,Îles françaises de l'Amérique et Terre-Neuve,,142,753
Isles françoises de l'amerique et terre neuve,Îles françaises de l'Amérique et Terre-Neuve,,33,753
Isles françoises de l'amerique et Terre neuve,Îles françaises de l'Amérique et Terre-Neuve,,66,753
Isles françoises de l'Amérique et Terre Neuve,Îles françaises de l'Amérique et Terre-Neuve,,218,753
"Isles Françoises de l'Amerique, Canada et Terre-Neuve","Îles françaises de l'Amérique, du Canada et Terre-Neuve",,1122,1341
"Isles Françoises de l'Amerique, le Canada et Terre-neuve","Îles françaises de l'Amérique, du Canada et Terre-Neuve",,218,1341
"Isles Françoises de l'Amerique, le Canada et Terre-neuves","Îles françaises de l'Amérique, du Canada et Terre-Neuve",,1,1341
Isles francoises de lamerique,Îles françaises de l'Amérique,,151,37285
Isles françoises de lamerique,Îles françaises de l'Amérique,,3,37285
Isles francoises Delamerique,Îles françaises de l'Amérique,,159,37285
Isles françoises delamerique,Îles françaises de l'Amérique,,182,37285
Isles françoises des Amériques,Îles françaises de l'Amérique,,31,37285
Islkes françoises de l'Amérique et du Canada,Îles françaises de l'Amérique et du Canada,,59,1412
italie,Italie,,140,35197
Italie,Italie,,30015,35197
Italie (Naples & Sicile),Italie (Naple & Sicile),,1,1
"Italie comprenant l'Etat Eclesiastique et toute l'Italie excepté Naples et Sicile, Genes et Venise","Italie comprenant l'Etat Ecclesiastique et toute l'Italie excepté Naples et Sicile, Gênes et Venise",,152,519
"Italie qui comprend l'Etat ecclesiastique et toute l'Italie excepté Naples et Sicile, Genes et Venise","Italie comprenant l'Etat Ecclesiastique et toute l'Italie excepté Naples et Sicile, Gênes et Venise",,159,519
"Italie qui comprend l'Etat ecclesistique et toute l'Italie excepté Naples et Sicile, Genes et Venise","Italie comprenant l'Etat Ecclesiastique et toute l'Italie excepté Naples et Sicile, Gênes et Venise",,208,519
Itallie,Italie,,18,35197
L'Allemagne,Allemagne,,244,13754
L'Allemagne et la Pologne,Allemagne-Pologne,,180,1206
L'amerique,Amérique,,7,272
L'Amerique,Amérique,,3,272
L'angleterre,Angleterre,,44,23716
L'Angleterre,Angleterre,,667,23716
L'empereur,Empereur,,5,629
L'Empereur,Empereur,,19,629
L'Espagne,Espagne,,1049,54899
L'Espagne et les Etats de dépendance,Espagne et les état en dépendants,,23,482
L'Espagne et les Etats en dépendances,Espagne et les état en dépendants,,16,482
L'Inde,Indes,,105,1863
L'Indes,Indes,,151,1863
L'Italie,Italie,,1372,35197
L'Orient,Lorient,,7,227
"La Baleine, au Groënland, au Bresil et Madagascar","Baleine au Groënland, Brésil et Madagascar",,2,2
La Chine,Chine,,2,5
La Flandre,Flandre,,23,14141
La Flandre autrichienne,Flandre Autrichienne,,21,3834
La Flandre Autrichienne,Flandre Autrichienne,,12,3834
La Flandre Autrichiènne,Flandre Autrichienne,,7,3834
La Flandre Impérialle,Flandre impériale,,99,696
La Franche compté,Franche Comté,,8,8
La Geneve,Genève,,7,3105
La Genêve,Genève,,7,3105
La Guadeloupe,Guadeloupe,,2144,2190
La Guinée,Guinée,,559,10125
la Hollande,Hollande,,30,70931
La Hollande,Hollande,,1914,70931
La La Louisiane,Louisiane,,1,7
La Loraine et l'Allemagne,Allemagne-Lorraine,,19,125
La Lorraine,Lorraine,,14,555
La Lorraine et l'Allemagne,Allemagne-Lorraine,,57,125
La Louisiane,Louisiane,,6,7
La Martinique,Martinique,,2734,2777
La Morue à Terre-Neuve,Morue à Terre-Neuve,,2,2
"la Morue, en Islande et Ithlande",Morue en Islande,,1,1
La Portugal,Portugal,,1,11821
La prusse,Prusse,,6,521
La Prusse,Prusse,,3,521
La Russie,Russie,,32,4499
La Russie et Courlande,Russie et Courlande,,15,15
La Sardaigne,Sardaigne,,46,2040
La Savoye,Savoie,,320,12036
La sued,Suède,,7,9339
La suede,Suède,,8,9339
La Suede,Suède,,24,9339
La suède,Suède,,1,9339
La Suède,Suède,,176,9339
La Suisse,Suisse,,228,9682
La Suisse et alliés et Genève,Suisse et alliés et Genève,,94,104
La Suisse et Genève,Genève et Suisse,,24,2356
La Suisse et la Geneve,Genève et Suisse,,18,2356
La Suisse et la Genève,Genève et Suisse,,78,2356
"La Suisse, les alliés et Genève",Suisse et alliés et Genève,,10,104
Le,Le ?,,2,2
Le Danemarck,Danemark,,13,8657
Le Danemark,Danemark,,189,8657
Le Dannemarc,Danemark,,86,8657
Le Dannemarck et Norvège,Danemark-Norvège,,2,392
Le Dannemark,Danemark,,82,8657
Le Flandre Impérialle,Flandre impériale,,9,696
Le Levant,Levant,,776,20584
Le Levant et l'empire olloman,Levant et Empire Ottoman,,2,98
Le Levant et l'empire ollomon,Levant et Empire Ottoman,,2,98
Le Levant et l'empire Ottoman,Levant et Empire Ottoman,,3,98
Le Levant et l'Empire Ottoman,Levant et Empire Ottoman,,4,98
Le Levant et la Barbarie,Levant et Barbarie,,34,34
"Le Levant, l'Empire Ottoman et les Etats de Barbarie","Levant, empire Ottoman et états de Barbarie",,123,123
Le Nord,Nord,,1380,21896
Le Piemont,Piémont,,217,1590
Le Portugal,Portugal,,102,11821
Le Porugal,Portugal,,6,11821
Les 4 villes anséatiques,Les 4 villes hanséatiques,,110,566
Les 4 villes Anséatiques,Les 4 villes hanséatiques,,4,566
Les Etats de l'Empereur,États de l'Empereur,,1,3370
"Les Etats de l'empereur, en Allemagne et Flandre",États de l'Empereur,,1,3370
Les Iles françaises de l'amerique,Îles françaises de l'Amérique,,81,37285
Les Iles Françaises de l'Amérique,Îles françaises de l'Amérique,,4960,37285
Les Indes,Indes,,24,1863
Les Isles françaises,Îles françaises,,522,1730
les Isles françaises de Amerique,Îles françaises de l'Amérique,,49,37285
Les Isles françaises de l'Amérique,Îles françaises de l'Amérique,,1928,37285
les4villesansatiques,Les 4 villes hanséatiques,,246,566
levant,Levant,,727,20584
Levant,Levant,,17501,20584
Levant et Empire Ottoman,Levant et Empire Ottoman,,87,98
Lisbonne,Lisbonne,,11,11
Livorne,Livourne,,1,20
Livourne,Livourne,,19,20
Loraine,Lorraine,,1,555
lorient,Lorient,,17,227
Lorient,Lorient,,203,227
Lorient et Petites Isles,Lorient et Petites Îles,,1,1
lorientdunkerque,Dunkerque et Lorient,,2,2
lorientmarseille,Lorient et Marseille,,1,1
lorraine,Lorraine,,3,555
Lorraine,Lorraine,,537,555
Lorraine et Alsace,Alsace-Lorraine,,1,4
Lorraine et Evechés,Lorraine et Évêchés,,1,1
Lorraine et l'Allemagne,Allemagne-Lorraine,,37,125
Lubeck en Norvège,Lübeck en Norvège,,1,1
Marens,Aligre de Marans ou Marennes,,1,1
Marseille,Marseille,,1999,2162
marseillepetitesisles,Marseille et Petites Îles,,1,1
marseilles,Marseille,,163,2162
Martinique,Martinique,,43,2777
Meckl.Schw.,Mecklembourg-Schwerin,,1,4
Mekel. Schw.,Mecklembourg-Schwerin,,1,4
Merck.Schw.,Mecklembourg-Schwerin,,2,4
Mexique,Mexique,,9,9
Middelbourg,Middlebourg,,1,1
Milan et Toscane et Lucques,"Milanais, Toscane et Lucques",,1,602
"Milan, Toscane et Lucques","Milanais, Toscane et Lucques",,239,602
Milanais Toscane,Milanais-Toscane,,6,1108
Milane et toscane,Milanais-Toscane,,36,1108
Milanès,Milanais,,4,4
Milanes de Toscane,Milanais-Toscane,,1,1108
Milanes et toscane,Milanais-Toscane,,187,1108
Milanes et Toscane,Milanais-Toscane,,343,1108
Milanès et Toscane,Milanais-Toscane,,2,1108
Milanes et toscane et luques,"Milanais, Toscane et Lucques",,5,602
Milanes Toscane,Milanais-Toscane,,21,1108
Milanes Toscane et Lucques,"Milanais, Toscane et Lucques",,77,602
Milanès Toscane et Lucques,"Milanais, Toscane et Lucques",,1,602
Milanès Toscane et Lucynes,"Milanais, Toscane et Lucques",,1,602
Milanes-Toscana,Milanais-Toscane,,245,1108
Milanes-Toscane,Milanais-Toscane,,19,1108
"Milanes, Toscane et Lucques","Milanais, Toscane et Lucques",,165,602
"Milanès, Toscane et Lucques","Milanais, Toscane et Lucques",,1,602
"Milanes, Toscane et Luques","Milanais, Toscane et Lucques",,94,602
Milanez et Toscane,Milanais-Toscane,,126,1108
Milanie Toscane,Milanais-Toscane,,99,1108
milanstoscaneetlucques,"Milanais, Toscane et Lucques",,3,602
milantoscaneetlucques,"Milanais, Toscane et Lucques",,15,602
Minales et Toscane,Milanais-Toscane,,23,1108
Monde,Monde,,4400,4400
Monde (Europe),Europe,,1,15
Monde (hors Amérique),Monde hors Amérique,,1,1
Monde (Hors Colonies),Monde hors colonies,,385,385
Monde (hors Europe et colonies),Monde hors Europe et colonies,,1,1
Monde (hors Europe et Inde),Monde (hors Europe et Inde),,3,3
Monde (hors Europe et Sénégal français),Monde (hors Europe et Sénégal français),,2,2
"Monde (hors Europe, Inde et Colonies françaises)","Monde (hors Europe, Inde et Colonies françaises)",,1,1
"Monde (hors Europe, Inde, Colonies françaises et Amérique)","Monde (hors Europe, Inde, Colonies françaises et Amérique)",,1,1
Monde (hors Europe),Monde hors Europe,,41,48
Monde (Hors Europe),Monde hors Europe,,7,48
Monde (hors Guiane française),Monde hors Guyanne française,,2,2
Monde (hors Inde et Amérique),Monde (hors Inde et Amérique),,5,5
Monde (hors Pays de Gex),Monde hors Pays de Gex,,1,1
"Monde (hors Piémont, Inde et Amérique)","Monde (hors Piémont, Inde et Amérique)",,1,1
Monde (Hors Ports de la Baltique),Monds hors Ports de la Baltique,,1,1
Morée,Morée,,5,11
Mozée,Morée,,6,11
N,Nord,,1,21896
N.-Grenade,Nouvelle-Grenade,,3,3
Nancy,Nancy,,2,2
Nantes,Nantes,,1,1
Napels,Naples,,1,3251
Naple et Sicile,Naples-Sicile,,124,4941
naples,Naples,,55,3251
Naples,Naples,,3193,3251
Naples et sicile,Naples-Sicile,,35,4941
Naples et Sicile,Naples-Sicile,,4749,4941
Naples et Siciles,Naples-Sicile,,31,4941
Naples Sicile,Naples-Sicile,,2,4941
Naples Sicile et Parme,"Naples, Sicile et Palerme",,49,52
Naples Sicile Palerme,"Naples, Sicile et Palerme",,2,52
Naples Sicile Parleme,"Naples, Sicile et Palerme",,1,52
Naples Sicile Parme,"Naples, Sicile et Parme",,4,315
Naples Sicile Parmes,"Naples, Sicile et Parme",,8,315
"Naples, Sicile et Parme","Naples, Sicile et Parme",,303,315
Non renseigné,non renseigné,,1,1
Noples,Naples,,2,3251
nord,Nord,,176,21896
Nord,Nord,,19363,21896
Nord (dont Hanse et Russie),Nord ; dont hanséatiques et Russie,,104,104
Nord (Hanse + Russie),Nord (Hanse et Russie),,32,32
Nord avec villes Anseatiques,Nord qui comprend les villes hanséatiques,,293,2851
Nord avec villes Anséatiques,Nord qui comprend les villes hanséatiques,,449,2851
Nord qui comprend les villes anscatiques,Nord qui comprend les villes hanséatiques,,663,2851
Nord qui comprend les villes anscatiques a la Moscovie,Nord qui comprend les villes hanséatiques et la Moscovie,,218,894
Nord qui comprend les villes ansceatiques,Nord qui comprend les villes hanséatiques,,73,2851
Nord qui comprend les villes anscéatiques,Nord qui comprend les villes hanséatiques,,66,2851
Nord qui comprend les villes ansceatiques et a Moscovie,Nord qui comprend les villes hanséatiques et la Moscovie,,34,894
Nord qui comprend les villes ansceatiques et la moscovie,Nord qui comprend les villes hanséatiques et la Moscovie,,10,894
Nord qui comprend les villes ansceatiques et la Moscovie,Nord qui comprend les villes hanséatiques et la Moscovie,,128,894
Nord qui comprend les villes anseatiques,Nord qui comprend les villes hanséatiques,,337,2851
Nord qui comprend les villes anséatiques,Nord qui comprend les villes hanséatiques,,927,2851
Nord qui comprend les villes anseatiques et la moscovie,Nord qui comprend les villes hanséatiques et la Moscovie,,299,894
Nord qui comprend les villes de anseatiques et la moscovie,Nord qui comprend les villes hanséatiques et la Moscovie,,18,894
Nord qui comprend les villes de anséatiques et la Moscovie,Nord qui comprend les villes hanséatiques et la Moscovie,,48,894
Nord y compris les villes anséatiques,Nord qui comprend les villes hanséatiques,,43,2851
Norde,Nord,,1,21896
Norvège,Norvège,,79,80
Norwegue,Norvège,,1,80
Origine inconnue,origine inconnue,,69,113
Origine Inconnue,origine inconnue,,44,113
Pas de pays indiqué,pays non indiqué,,1,10
Pays d'Aunis,Pays d'Aunis,,1,1
Pays de Gex,Pays de Gex,,7,7
Pays de labour,Pays de Labour,,31,31
Pays non indiqué,pays non indiqué,,9,10
Pays ou Région,Pays ou Région,,1,1
Pays-Bas,Pays-Bas,,49,49
Pêche étrangère,Pêches étrangères,,10,13
Pêche française,Pêches françaises,,6,37
Pêches étrangères,Pêches étrangères,,3,13
Pêches françaises,Pêches françaises,,31,37
Pêches sur nos côtes Hareng (simple apperçu),Pêches sur nos côtes Hareng (aperçu),,2,2
Pêches sur nos côtes Maquereaux (simple apperçu),Pêches sur nos côtes Maquereaux (aperçu),,2,2
Pêches sur nos côtes Sardines (simple apperçu),Pêches sur nos côtes Sardines (aperçu),,1,1
Pérou,Pérou,,6,6
Petites iles,Petites Îles,,356,464
Petites isles,Petites Îles,,27,464
Petites Isles,Petites Îles,,76,464
Petites Isles et Bayonne,Petites Îles et Bayonne,,3,3
Petites Isles et Lorient,Petites îles et Lorient,,1,1
"Petites Isles, Dunkerque et Lorient","Petites Îles, Dunkerque et Lorient",,1,2
"Petites Isles, Lorient et Bayonne","Petites Îles, Bayonne et Lorient",,1,1
"Petites Isles, Lorient et Dunkerquer","Petites Îles, Dunkerque et Lorient",,1,2
"Petites Isles, Lorient, Dunkerque et Bayonne","Petites Îles, Bayonne, Dunkerque et Lorient",,2,2
petitesisles,Petites Îles,,5,464
Philippines,Philippines,,1,1
Piedmont,Piémont,,124,1590
Piemont,Piémont,,1171,1590
Piémont,Piémont,,1,1590
Piémont ; par mer,Piémont par mer,,1,1
Piémont ; par terre,Piémont par terre,,1,1
Piemont et Geneve,Piémont et Genève,,219,604
Piemont et la Savoye,Piémont et Savoie,,174,340
Piemont et Savoye,Piémont et Savoie,,94,340
Piémont et Savoye,Piémont et Savoie,,72,340
Poitou,Poitou,,1,1
pologne,Pologne,,16,305
Pologne,Pologne,,289,305
pologne - Geneve,Pologne et Genève,,1,1
Port de Marseille,Port de Marseille,,414,414
Portgual,Portugal,,1,11821
Portigal,Portugal,,1,11821
Portogal,Portugal,,1,11821
Ports de la Baltique,Ports de la Baltique,,1,1
Ports et pays de France,France,,10,16
portugal,Portugal,,366,11821
Portugal,Portugal,,10597,11821
"Portugal, Isles Madere, Terceres et Acores","Portugal, île de Madère, Terceres et Açores",,353,353
Portugale,Portugal,,11,11821
Possessions anglaises,Possessions anglaises,,67,132
Possessions Anglaises,Possessions anglaises,,65,132
Possessions danoises,Possessions danoises,,43,90
Possessions Danoises,Possessions danoises,,47,90
Possessions des Etats unis de l'Amérique,Possessions des États-Unis d'Amérique,,74,143
Possessions des États-Unis de l'Amérique,Possessions des États-Unis d'Amérique,,69,143
Possessions espagnoles,Possessions espagnoles,,77,153
Possessions Espagnoles,Possessions espagnoles,,76,153
Possessions hollandaises,Possessions hollandaises,,73,142
Possessions Hollandaises,Possessions hollandaises,,69,142
Possessions portugaises,Possessions portugaises,,13,27
Possessions Portugaises,Possessions portugaises,,14,27
Possessions suédoises,Possessions suédoises,,37,57
Possessions Suédoises,Possessions suédoises,,20,57
pour Danemark,Danemark,,1,8657
Pour Genes,Gênes,,167,14507
Pour Geneve,Genève,,25,3105
pour Genève,Genève,,7,3105
pour Guinée,Guinée,,321,10125
pour Hollande,Hollande,,52,70931
Pour Hollande,Hollande,,92,70931
pour l'Allemagne la Lorraine et le pais de Liege,Allemagne-Lorraine-Pays de Liège,,10,1554
pour l'Allemagne la Lorraine et le païs de Liège,Allemagne-Lorraine-Pays de Liège,,3,1554
pour l'Angleterre,Angleterre,,700,23716
Pour l'Angleterre,Angleterre,,341,23716
pour l'Espagne,Espagne,,948,54899
Pour l'Espagne,Espagne,,2456,54899
pour l'Italie,Italie,,15,35197
Pour l'Italie,Italie,,3637,35197
pour la Flandre,Flandre,,35,14141
pour la Flandre autrichienne,Flandre Autrichienne,,71,3834
Pour la Flandre Impérialle,Flandre impériale,,5,696
pour la Guinée,Guinée,,318,10125
pour la holande,Hollande,,88,70931
pour la Holande,Hollande,,151,70931
pour la Hollande,Hollande,,642,70931
Pour la Hollande,Hollande,,791,70931
Pour la Lorraine et l'Allemagne,Allemagne-Lorraine,,9,125
pour la Russie,Russie,,4,4499
pour la Savoye,Savoie,,9,12036
Pour la Savoye,Savoie,,142,12036
Pour la Savoye et le Piemont,Savoie et Piémont,,435,11303
Pour la Suede,Suède,,12,9339
pour la Suède,Suède,,43,9339
pour la Suisse,Suisse,,20,9682
Pour la Suisse,Suisse,,34,9682
Pour la Suisse et Geneve,Suisse et Genève,,116,154
pour le Danemark,Danemark,,72,8657
Pour le Danemark,Danemark,,9,8657
pour le Levant,Levant,,16,20584
Pour le Levant,Levant,,1329,20584
pour le Nord,Nord,,335,21896
Pour le Nord,Nord,,378,21896
Pour le Piedmont et geneve,Piémont et Genève,,116,604
Pour le Piémont,Piémont,,77,1590
Pour le Piemont et Geneve,Piémont et Genève,,269,604
pour le Portugal,Portugal,,375,11821
Pour le Portugal,Portugal,,234,11821
pour les Etats unis de l'Amérique,États-Unis de l'Amérique,,126,126
pour les Indes orientales,Indes Orientales,,403,1563
Pour les Isles françaises,Îles françaises,,126,1730
Pour les Isles françaises de l'Amerique,Îles françaises de l'Amérique,,321,37285
pour les Isles françaises de l'Amérique,Îles françaises de l'Amérique,,105,37285
Pour les Isles françaises de l'Amérique,Îles françaises de l'Amérique,,1,37285
Pour les Isles Françaises de l'Amérique,Îles françaises de l'Amérique,,191,37285
Pour les Isles françoises de l'amerique,Îles françaises de l'Amérique,,539,37285
pour les Isles françoises de l'Amérique,Îles françaises de l'Amérique,,1209,37285
Pour Levant,Levant,,186,20584
Pour Naples et Sicile,Naples et Sicile,,40,40
Pour Russie,Russie,,7,4499
Pour Savoye et Piemont,Savoie et Piémont,,269,11303
Pour Suede,Suède,,34,9339
Pour suisse et geneve,Suisse et Genève,,38,154
Pour Venise,Venise,,1,1788
Pourtgal,Portugal,,1,11821
Prises et saisies,Prises et saisies,,663,1045
Prises et Saisies,Prises et saisies,,382,1045
Prises saisies et séquestres,Prises et saisies et séquestres,,37,260
"Prises, saisies et séquestres",Prises et saisies et séquestres,,188,260
"Prises, saisies et Séquestres",Prises et saisies et séquestres,,35,260
prusse,Prusse,,68,521
Prusse,Prusse,,444,521
Prusse - par mer,Prusse – par mer,,2,2
Quatre villes hanséatiques,Quatre villes hanséatiques,,40,40
R.de la Plata,Rio de la Plata,,14,14
Republique de genes,République de Gênes,,4,747
Republique de Genes,République de Gênes,,53,747
Republique de Gènes,République de Gênes,,1,747
République de genes,République de Gênes,,2,747
République de Genes,République de Gênes,,101,747
République de Génes,République de Gênes,,261,747
République de Gènes,République de Gênes,,97,747
République de Gênes,République de Gênes,,228,747
République de Hollande,République de Hollande,,152,152
republique de Suisse,République de Suisse,,2,4088
Republique de suisse,République de Suisse,,1,4088
Republique de Suisse,République de Suisse,,14,4088
république de Suisse,République de Suisse,,3,4088
République de suisse,République de Suisse,,228,4088
République de Suisse,République de Suisse,,3840,4088
Republique de Venise,République de Venise,,10,124
République de Venise,République de Venise,,77,124
République de VENISE,République de Venise,,37,124
Riga,Riga,,3,3
Rome et Venise,Rome et Venise,,2,2
Rotterdam,Rotterdam,,6,6
Rouen,Rouen,,1,1
Royaume d'Espagne,Royaume d'Espagne,,4661,4661
Royaume d'Espagne et les colonies,Royaume d'Espagne et ses colonies,,13,1083
Royaume d'Espagne et ses colonies,Royaume d'Espagne et ses colonies,,1070,1083
Royaume d'Etrurie,Royaume d'Étrurie,,1005,1153
Royaume d'Étrurie,Royaume d'Étrurie,,148,1153
Royaume d'Hollande,Royaume de Hollande,,40,2977
Royaume d'italie,Royaume d'Italie,,20,2734
Royaume d'Italie,Royaume d'Italie,,2714,2734
Royaume de Danemarck,Royaume de Danemark,,2997,3293
Royaume de Danemarck et ses colonies,Royaume de Danemark et ses colonies,,200,200
Royaume de Danemark,Royaume de Danemark,,257,3293
Royaume de genes,Royaume de Gênes,,6,73
Royaume de Genes,Royaume de Gênes,,51,73
Royaume de GENES,Royaume de Gênes,,16,73
Royaume de Hollande,Royaume de Hollande,,2937,2977
Royaume de Naple,Royaume de Naples,,6,2265
Royaume de naples,Royaume de Naples,,48,2265
Royaume de Naples,Royaume de Naples,,2211,2265
Royaume de Naples et de Sicile et Duché de Parmes,Royaume de Naples et de de Sicile et duché de Parme,,79,79
Royaume de Pays-Bas,Royaume de Pays-Bas,,11,982
Royaume de portugal,Royaume du Portugal,,7,1870
Royaume de Portugal,Royaume du Portugal,,1823,1870
Royaume de Portugal et ses colonies,Royaume du Portugal et ses colonies,,836,836
Royaume de Potugal,Royaume du Portugal,,21,1870
Royaume de Prusse,Royaume de Prusse,,3981,3981
Royaume de sardaigne,Royaume de Sardaigne,,179,4040
Royaume de Sardaigne,Royaume de Sardaigne,,3835,4040
Royaume de sue,Royaume de Suède,,1,1593
Royaume de suede,Royaume de Suède,,16,1593
Royaume de Suede,Royaume de Suède,,74,1593
Royaume de suède,Royaume de Suède,,3,1593
Royaume de Suède,Royaume de Suède,,1499,1593
Royaume de Suède et ses colonies,Royaume de Suède et ses colonies,,173,173
Royaume de Suisse,Royaume de Suisse,,26,26
Royaume des Pays-Bas,Royaume de Pays-Bas,,915,982
Royaume des Pays-Bas et ses colonies,Royaume de Pays-Bas et ses colonies,,1408,1408
Royaume du Danemarck,Royaume de Danemark,,26,3293
Royaume du Portugal,Royaume du Portugal,,19,1870
Royaumes de Danemarck,Royaume de Danemark,,13,3293
Royaumes de Sardaigne,Royaume de Sardaigne,,26,4040
Royaumes des Pays-Bas,Royaume de Pays-Bas,,56,982
Rusie,Russie,,4,4499
Russa,Russie,,2,4499
russie,Russie,,270,4499
Russie,Russie,,4031,4499
Russie et Courlande,Russie-Courlande,,128,128
Saint Domingue,Saint-Domingue,,325,5564
Saint Jean de Luz,Saint-Jean de Luz,,1,9
Saint-Domingue,Saint-Domingue,,779,5564
Saint-Jean de Luz,Saint-Jean de Luz,,7,9
Saint-Jean de Luze,Saint-Jean de Luz,,1,9
Salonique,Salonique,,5,5
"Salonique, Archypel et Satalis","Salonique, Archipet et Satalis",,17,17
sardaigne,Sardaigne,,9,2040
Sardaigne,Sardaigne,,1985,2040
savoie,Savoie,,2,12036
Savoie,Savoie,,3,12036
Savoie et Piémont,Savoie et Piémont,,256,11303
savoye,Savoie,,134,12036
Savoye,Savoie,,11294,12036
Savoye & Piémont,Savoie et Piémont,,151,11303
Savoye et du Piemont,Savoie et Piémont,,322,11303
Savoye et le Piedmont,Savoie et Piémont,,284,11303
Savoye et le Piemont,Savoie et Piémont,,353,11303
Savoye et Piedmont,Savoie et Piémont,,312,11303
Savoye et Piemons,Savoie et Piémont,,122,11303
Savoye et Piemont,Savoie et Piémont,,8078,11303
Savoye et Piémont,Savoie et Piémont,,721,11303
savpie,Savoie,,132,12036
Sénégal,Sénégal,,229,229
Sénégal et Caïenne,Sénégal et Cayenne,,1,1
Sénégal et Guinée,Sénégal et Guinée,,2992,2992
Sénégal français,Sénégal français,,8,8
Seydes,Sidon,,5,5
Seydes et Acre,Sidon et Acre,,15,15
Smirne,Smyrne,,35,35
St Domingue,Saint-Domingue,,4460,5564
St Thomas,Saint-Thomas,,11,11
"Stockholm, Middelbourg, Göteborg, Andenville, Narbeck et Gherben en Suède","Stockholm, Middelbourg, Götenborg, Andenville, Narbeck et Gherben en Suède",,1,2
"Stockholm, Middelbourg, Gothembourg Andenville, Narbeck et Gherben en Suède","Stockholm, Middelbourg, Götenborg, Andenville, Narbeck et Gherben en Suède",,1,2
Strasbourg,Strasbourg,,1,1
Sud eclésiatique,Sud ecclésiastique,,1,1
sude,Suède,,123,9339
suede,Suède,,240,9339
Suede,Suède,,5724,9339
Suéde,Suède,,236,9339
suède,Suède,,19,9339
Suède,Suède,,2411,9339
Süede,Suède,,47,9339
Suèdes,Suède,,1,9339
Suifre,Suisse,,1,9682
Suis,Suisse,,1,9682
Suise,Suisse,,2,9682
suisse,Suisse,,183,9682
Suisse,Suisse,,9211,9682
SUISSE,Suisse,,1,9682
Suisse et geneve,Genève et Suisse,,30,2356
Suisse et Geneve,Genève et Suisse,,916,2356
suisse et genève,Genève et Suisse,,2,2356
Suisse et genève,Genève et Suisse,,193,2356
Suisse et Genève,Genève et Suisse,,261,2356
Suisse Geneève,Genève et Suisse,,3,2356
suisse geneve,Genève et Suisse,,7,2356
Suisse Geneve,Genève et Suisse,,2,2356
Suisse Genève,Genève et Suisse,,5,2356
Suisse Genêve,Genève et Suisse,,3,2356
Suisse ses alliés et Genève,Genève et Suisse et ses alliés,,26,845
Suisse-Geneve,Genève et Suisse,,526,2356
"Suisse, les alliés et Genève",Genève et Suisse et ses alliés,,686,845
"Suisse, ses Alliées et Genève",Genève et Suisse et ses alliés,,2,845
"Suisse, ses alliés et Genève",Genève et Suisse et ses alliés,,131,845
Suui,Suisse,,1,9682
Tabago,Tobago,,740,740
Tabago et Sainte-Lucie,Tobago et Sainte-Lucie,,2,2
Toscane,Toscane,,334,335
Toseaux,Toscane,,1,335
Traite des noirs et de la gomme,Traite des noirs et de la gomme,,2,2
Tripoly de Syrie,Tripoli de Syrie,,15,15
Trois Êvéchés,Trois Évêchés,,2,2
Turquie,Turquie,,34,34
"Turquie, Inde et Amérique","Turquie, Inde et Amérique",,2,2
Venezuela,Vénézuela,,14,14
Venice,Venise,,1,1788
venise,Venise,,53,1788
Venise,Venise,,1732,1788
Venisr,Venise,,1,1788
ville anséatiques,Villes hanséatiques,,1,4143
Ville anslatique,Villes hanséatiques,,4,4143
Ville auséatique,Villes hanséatiques,,17,4143
Ville Auséatique,Villes hanséatiques,,8,4143
Ville d'anslatique,Villes hanséatiques,,3,4143
Villees Auséatiques,Villes hanséatiques,,49,4143
Villes anséatique,Villes hanséatiques,,37,4143
Villes anseatiques,Villes hanséatiques,,1,4143
villes anséatiques,Villes hanséatiques,,8,4143
Villes anséatiques,Villes hanséatiques,,444,4143
Villes Anséatiques,Villes hanséatiques,,2948,4143
"Villes Anséatiques d'Hambourg, Brême, Lubeck et Dantzick",Villes hanséatiques,,69,4143
Villes Anséatiques et Hollande,Villes hanséatiques-Hollande,,223,223
villes ansiatiq,Villes hanséatiques,,3,4143
villes ansiatiques,Villes hanséatiques,,1,4143
Villes auséatiques,Villes hanséatiques,,254,4143
Villes Auséatiques,Villes hanséatiques,,189,4143
Villes ausiatiques,Villes hanséatiques,,12,4143
Villes hanséatiques,Villes hanséatiques,,95,4143
Villes***,Villes ?,,1,1
Voitures diverses,Voitures diverses,,2,2
Ypres,Ypres,,1,1
