numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
115,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,3,1726,Import,Oranges,Marseille,Piemont,"315,50",charges,"3,0000000","946,50","0,00",
116,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,3,1726,Import,Poivre,Marseille,Piemont,"270,00",livres,"0,6000000","162,00","0,00",
117,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,3,1726,Import,Poisson salé,Marseille,Piemont,"2 360,00",livres,"0,2000000","472,00","0,00",
118,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,3,1726,Import,Ris,Marseille,Piemont,"79 250,00",livres,"0,1000000","7925,00","0,00",
119,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,3,1726,Import,Rossely,Marseille,Piemont,"50,00",livres,"1,0000000","50,00","0,00",
120,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,3,1726,Import,Sardines,Marseille,Piemont,"3 300,00",milliers,"0,0400000","165,00","33,00",erreur de calcul
121,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,3,1726,Import,Sirop ,Marseille,Piemont,"20,00",livres,"1,0000000","20,00","0,00",
122,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,3,1726,Import,Vermichel,Marseille,Piemont,"58 900,00",livres,"0,1500000","8835,00","0,00",
123,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,3,1726,Import,Acier,Marseille,Piemont,"82,00",livres,"0,2500000","20,50","0,00",
124,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,3,1726,Import,Arquifou,Marseille,Piemont,"8 000,00",livres,"0,1000000","800,00","0,00",
125,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,3,1726,Import,Amidon,Marseille,Piemont,"25,00",livres,"0,1400000","3,50","0,00",
126,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,3,1726,Import,Bourre de beuf ,Marseille,Piemont,"735,00",livres,"0,0500000","36,75","0,00",
127,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,3,1726,Import,Bois a batir ,Marseille,Piemont,"7,00",pieces ,"0,4000000","2,80","0,00",
128,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,3,1726,Import,Capilaire en herbe,Marseille,Piemont,"20,00",livres,"0,0600000","1,20","0,00",
129,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,3,1726,Import,Chanvre peigné,Marseille,Piemont,"1 560,00",livres,"0,5000000","780,00","0,00",
130,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,3,1726,Import,Chanvre battu ,Marseille,Piemont,"174 075,00",livres,"0,1800000","31333,50","0,00",
131,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,3,1726,Import,Chanvre cru,Marseille,Piemont,"40 825,00",livres,"0,1200000","4899,00","0,00",
132,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,3,1726,Import,Cuivre vieux,Marseille,Piemont,"3 660,00",livres,"0,8000000","2928,00","0,00",
133,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,3,1726,Import,Cercles a tamis,Marseille,Piemont,"400,00",livres,"0,4000000","160,00","0,00",
134,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,3,1726,Import,Cercles a toneaux,Marseille,Piemont,"1,00",cannelles,"5,0000000","5,00","0,00",
135,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,3,1726,Import,Chevrons,Marseille,Piemont,"8,00",douzaines,"3,6000000","28,80","0,00",6 sous la douzaine
136,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,3,1726,Import,Cire blanche,Marseille,Piemont,"15,00",livres,"1,4000000","21,00","0,00",
137,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,3,1726,Import,Douves a toneaux,Marseille,Piemont,"1,00",canelles,"5,0000000","5,00","0,00",
138,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,3,1726,Import,Esclapes,Marseille,Piemont,"3,00",charges,"4,0000000","12,00","0,00",
139,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,3,1726,Import,filiers,Marseille,Piemont,"8,00",douzaines,"50,0000000","400,00","0,00","probablement ""filets"", c'est un produit d'importation assez typique en provannce du Piémont à Marseille. "
140,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,3,1726,Import,Fer en bandes,Marseille,Piemont,"1 550,00",livres,"0,2400000","372,00","0,00",
141,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,3,1726,Import,Galles legeres,Marseille,Piemont,"1 360,00",livres,"0,2500000","340,00","0,00",
142,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,3,1726,Import,Graine de chanvre,Marseille,Piemont,"10 900,00",livres,"0,0500000","545,00","0,00",
143,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,3,1726,Import,Laine pellade,Marseille,Piemont,"3 385,00",livres,"0,2400000","812,40","0,00",
144,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,3,1726,Import,Laine cardée,Marseille,Piemont,"16,00",livres,"0,5000000","8,00","0,00",
145,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Laton,Marseille,Piemont,"4,00",livres,"0,8000000","3,20","0,00",
146,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Pelleterie commune,Marseille,Piemont,"10,00",livres,"0,1500000","1,50","0,00",
147,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Peaux de poisson ,Marseille,Piemont,"350,00",livres,"0,4000000","140,00","0,00",
148,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Peaux d'agneaux,Marseille,Piemont,"4,00",douzaines,"4,0000000","16,00","0,00",
149,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Planches de sapin,Marseille,Piemont,"54,50",douzaines,"7,0000000","381,50","0,00",
150,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Platre,Marseille,Piemont,"632,00",charges,"0,3500000","221,20","0,00",
151,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Platre,Marseille,Piemont,"17 000,00",quintaux,"0,0015000","25,50","0,00",170 quintaux à 3 sous le quintal
152,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Pierre noire,Marseille,Piemont,"450,00",livres,"0,2500000","112,50","0,00",
153,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Pierre ?,Marseille,Piemont,"13,00",en nombre,"3,0000000","39,00","0,00",
154,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Soufre,Marseille,Piemont,"170,00",livres,"0,1000000","17,00","0,00",
155,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Soude ,Marseille,Piemont,"750,00",livres,"0,0325000","24,35","-0,02",erreur de calcul
156,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Verre cassé,Marseille,Piemont,"4,00",barils,"6,0000000","24,00","0,00",
157,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Bonets de cotton,Marseille,Piemont,"4,00",en nombre,"0,5000000","2,00","0,00",
158,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Barils vuides,Marseille,Piemont,"85,00",en nombre,"0,5000000","42,50","0,00",
159,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Cotton filé,Marseille,Piemont,"35,00",livres,"0,9000000","31,50","0,00",
160,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Corde de chanvre,Marseille,Piemont,"4 660,00",livres,"0,2000000","932,00","0,00",
161,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Cuir de Roussy,Marseille,Piemont,"70,00",livres,"2,0000000","140,00","0,00",
162,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Clouds de fer,Marseille,Piemont,"130,00",livres,"0,2200000","28,60","0,00",
163,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Drap cordeillat,Marseille,Piemont,"1,00",pieces ,"50,0000000","50,00","0,00",
164,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Etofe de soye,Marseille,Piemont,"5,00",livres,"40,0000000","200,00","0,00",
165,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,fil cru ,Marseille,Piemont,"1,00",livres,"1,5000000","1,50","0,00",
166,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,fer ouvré,Marseille,Piemont,"535,00",livres,"0,2700000","144,45","0,00",
167,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Huille de senteur,Marseille,Piemont,"45,00",livres,"0,8000000","36,00","0,00",
168,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Mercerie commune ,Marseille,Piemont,"252,00",livres,"3,0000000","756,00","0,00",
169,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Mouchoir de fil,Marseille,Piemont,"6,00",en nombre,"4,0000000","0,00","-24,00",6 en nombre à 4 livres la douzaine; total indéchiffrable
170,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Pommades de senteur,Marseille,Piemont,"1,50",livres,"1,2500000","1,88","0,00",
171,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Sarge,Marseille,Piemont,"14,00",livres,"2,0000000","28,00","0,00",
172,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Savon,Marseille,Piemont,"6,00",livres,"0,2000000","1,20","0,00",
173,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Toille blanche,Marseille,Piemont,"185,00",cannes,"2,0000000","370,00","0,00",
174,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Toille d'étoupe,Marseille,Piemont,"12,00",pieces ,"16,0000000","192,00","0,00",
175,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Toille d'emballage,Marseille,Piemont,"195,50",pieces ,"25,0000000","4887,50","0,00",
176,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Toille de crin,Marseille,Piemont,"22,00",livres,"0,3500000","7,70","0,00",
177,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Tonneaux cerclé de bois,Marseille,Piemont,"5,00",en nombre,"4,0000000","20,00","0,00",
178,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Anchois,Marseille,Italie,"1,50",barils,"5,0000000","7,50","0,00",
179,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Aulx,Marseille,Italie,"3,50",charges,"2,0000000","7,00","0,00",
180,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Aigre de cedre,Marseille,Italie,"15,00",livres,"0,3500000","5,25","0,00",
181,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Chair salée,Marseille,Italie,"140,00",livres,"0,1800000","25,20","0,00",
182,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Confitures,Marseille,Italie,"6 516,00",livres,"1,0000000","6516,00","0,00",
183,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Chataignes seiches,Marseille,Italie,"8 775,00",livres,"0,0700000","614,25","0,00",
184,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Chataignes fraiches ,Marseille,Italie,"2 925,00",livres,"0,0400000","117,00","0,00",
185,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Citrons,Marseille,Italie,"223,00",milliers,"4,0000000","892,00","0,00",
186,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Eau de fleur d'orange,Marseille,Italie,"600,00",livres,"0,0600000","36,00","0,00",
187,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Esprit de citron,Marseille,Italie,"138,00",livres,"1,5000000","195,00","-12,00",
188,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Fromage parmesan,Marseille,Italie,"150,00",livres,"0,2600000","39,00","0,00",
189,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Fromage de sardaigne ,Marseille,Italie,"78 400,00",livres,"0,1200000","9408,00","0,00",
190,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Figues ,Marseille,Italie,"90,00",livres,"0,0600000","5,40","0,00",
191,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Fruit sec,Marseille,Italie,"525,00",livres,"0,1000000","52,50","0,00",
192,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Fleur d'orange ,Marseille,Italie,"80,00",livres,"0,5000000","40,00","0,00",
193,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Grenades,Marseille,Italie,"2,00",cents ,"5,0000000","10,00","0,00",
194,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Graisse de boucherie,Marseille,Italie,"1 500,00",livres,"0,2500000","375,00","0,00",
195,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Huille d'olive,Marseille,Italie,"473 175,00",livres,"0,2500000","118293,75","0,00",
196,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Herbage,Marseille,Italie,"1,00",charges,"5,0000000","5,00","0,00",
197,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Legumes,Marseille,Italie,"0,50",charges,"0,0500000","5,00","4,98",
198,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Mane de calabre,Marseille,Italie,"36 923,00",livres,"0,7500000","27692,50","0,25",erreur de calcul
199,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Noisettes,Marseille,Italie,"5 410,00",livres,"0,1200000","649,20","0,00",
200,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Oranges,Marseille,Italie,"38 000,00",milliers,"0,0125000","475,00","0,00",38 milliers à 25 sous le quintal
201,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,4,1726,Import,Oignons,Marseille,Italie,"2,00",charges,"5,0000000","10,00","0,00",
202,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,5,1726,Import,Pistaches,Marseille,Italie,"11 445,00",livres,"0,3000000","3433,50","0,00",
203,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,5,1726,Import,Pommes,Marseille,Italie,"1 200,00",livres,"0,0600000","72,00","0,00",
204,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,5,1726,Import,Ris,Marseille,Italie,"586 150,00",livres,"0,0800000","46892,00","0,00",
205,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,5,1726,Import,Saucissons,Marseille,Italie,"2 160,00",livres,"1,0000000","2160,00","0,00",
206,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,5,1726,Import,Sardines,Marseille,Italie,"4,00",barils,"3,5000000","14,00","0,00",
207,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,5,1726,Import,Sardines,Marseille,Italie,"5 850,00",livres,"0,1000000","585,00","0,00",
208,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,5,1726,Import,Semence froide,Marseille,Italie,"206,00",livres,"0,5000000","103,00","0,00",
209,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,5,1726,Import,Teriac,Marseille,Italie,"22,00",livres,"3,0000000","66,00","0,00",
210,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,5,1726,Import,Vermichel,Marseille,Italie,"97 525,00",livres,"0,1800000","17554,50","0,00",
211,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,5,1726,Import,Alun,Marseille,Italie,"136 975,00",livres,"0,1500000","20546,25","0,00",
212,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,5,1726,Import,Auf,Marseille,Italie,"150,00",livres,"0,0400000","6,00","0,00",
213,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,5,1726,Import,Bourre de bœuf ,Marseille,Italie,"75,00",livres,"0,0500000","3,75","0,00",
214,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,5,1726,Import,Bois de campesche,Marseille,Italie,"85,00",livres,"0,1500000","12,75","0,00",
215,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,5,1726,Import,Baguettes de fusils,Marseille,Italie,"1,00",cents ,"6,0000000","6,00","0,00",
216,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,5,1726,Import,Cuivre vieux,Marseille,Italie,"18 100,00",livres,"0,8000000","14480,00","0,00",
217,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,5,1726,Import,Couperose,Marseille,Italie,"101 850,00",livres,"0,0600000","6111,00","0,00",
218,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,5,1726,Import,Chanvre peigné,Marseille,Italie,"42 700,00",livres,"0,4500000","19215,00","0,00",
219,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,5,1726,Import,Chanvre cru,Marseille,Italie,"114 275,00",livres,"0,1400000","15998,50","0,00",
220,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,5,1726,Import,Chevrons,Marseille,Italie,"5,00",douzaines,"3,5000000","17,50","0,00",
221,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,5,1726,Import,Cercles a tamis,Marseille,Italie,"260,00",rodes,"10,0000000","2600,00","0,00",
222,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,5,1726,Import,Cercles a tamis,Marseille,Italie,"1 500,00",livres,"0,4000000","600,00","0,00",
223,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,5,1726,Import,Cercles a toneaux,Marseille,Italie,"112,00",charges,"3,0000000","336,00","0,00",
224,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,5,1726,Import,Cercles a toneaux,Marseille,Italie,"2 928,00",faix,"0,5000000","1459,00","-5,00",erreur de calcul
225,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,5,1726,Import,Cercles a barils,Marseille,Italie,"80,00",faix,"0,5000000","40,00","0,00",
226,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,5,1726,Import,Cercles a barils,Marseille,Italie,"7 000,00",milliers,"0,0200000","140,00","0,00",7 milliers à 2 livres le quintal
227,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,5,1726,Import,Douelles a toneaux,Marseille,Italie,"196,00",charges,"5,0000000","980,00","0,00",
